"","V1","V2","V3","V4","V5","V6"
"151",138,3,18,35,NA,NA
"152",139,7,11,37,45,NA
"153",140,12,31,34,36,48
"154",141,2,5,21,NA,NA
"155",142,3,4,15,NA,NA
"156",143,2,11,25,29,NA
"157",144,3,18,35,NA,NA
"158",145,8,23,31,49,NA
"159",146,2,9,16,26,NA
"160",147,4,9,NA,NA,NA
"161",148,17,29,47,NA,NA
"162",149,0,2,8,22,38
"163",46,NA,NA,NA,NA,NA
"164",150,13,49,NA,NA,NA
"165",151,11,36,NA,NA,NA
"166",152,7,11,37,NA,NA
"167",153,9,11,22,24,41
"168",154,9,NA,NA,NA,NA
"169",155,5,22,NA,NA,NA
"170",156,4,6,8,48,NA
"171",157,4,9,14,NA,NA
"172",158,3,5,22,NA,NA
"173",159,2,5,22,NA,NA
"174",160,5,7,15,18,35
"175",49,NA,NA,NA,NA,NA
"176",161,23,24,40,41,43
"177",162,0,2,10,NA,NA
"178",163,2,27,36,NA,NA
"179",164,12,31,36,48,NA
"180",165,4,9,NA,NA,NA
"181",166,4,9,NA,NA,NA
"182",167,12,22,27,48,NA
"183",168,5,8,22,31,NA
"184",169,7,15,49,NA,NA
"185",170,7,11,37,45,NA
"186",171,4,25,35,43,NA
"187",172,5,22,30,36,44
"188",173,1,2,6,7,22
"189",174,13,22,28,35,NA
"190",175,3,19,43,NA,NA
"191",176,3,18,35,NA,NA
"192",177,19,27,28,NA,NA
"193",178,45,NA,NA,NA,NA
"194",179,0,2,46,NA,NA
"195",180,28,32,35,37,NA
"196",181,4,19,NA,NA,NA
"197",182,0,21,46,NA,NA
"198",183,0,2,7,33,42
"199",184,8,24,NA,NA,NA
"200",185,27,28,41,42,NA
"201",186,9,45,NA,NA,NA
"202",187,2,29,40,43,48
"203",188,17,29,47,NA,NA
"204",189,5,13,35,37,43
"205",190,25,NA,NA,NA,NA
"206",191,18,24,29,38,45
"207",192,4,5,25,NA,NA
"208",193,21,NA,NA,NA,NA
"209",194,1,19,NA,NA,NA
"210",195,14,44,NA,NA,NA
"211",196,5,22,NA,NA,NA
"212",197,1,5,22,NA,NA
"213",198,17,38,NA,NA,NA
"214",199,1,22,NA,NA,NA
"215",200,10,26,27,40,NA
"216",201,7,19,28,31,38
"217",39,NA,NA,NA,NA,NA
"218",202,3,18,34,NA,NA
"219",203,12,14,NA,NA,NA
"220",204,5,22,23,37,41
"221",205,0,8,44,NA,NA
"222",206,7,19,45,NA,NA
"223",207,6,14,22,24,NA
"224",208,0,16,36,NA,NA
"225",209,30,38,46,NA,NA
"226",210,12,31,36,NA,NA
"227",211,7,9,25,36,NA
"228",212,4,12,25,32,NA
"229",213,3,18,20,23,26
"230",33,35,NA,NA,NA,NA
"231",214,7,10,28,32,NA
"232",215,1,4,6,16,17
"233",36,38,45,NA,NA,NA
"234",216,4,9,NA,NA,NA
"235",217,1,19,21,39,NA
"236",218,7,11,37,45,48
"237",219,27,46,NA,NA,NA
"238",220,7,11,37,45,NA
"239",221,23,24,40,41,43
"240",222,5,10,11,NA,NA
"241",223,27,28,33,48,NA
"242",224,3,18,35,NA,NA
"243",225,15,49,NA,NA,NA
"244",226,20,41,NA,NA,NA
"245",227,27,28,NA,NA,NA
"246",228,1,3,19,21,NA
"247",229,14,18,19,31,39
"248",230,7,15,NA,NA,NA
"249",231,7,11,37,45,NA
"250",232,9,32,40,NA,NA
"251",233,5,22,NA,NA,NA
"252",234,5,9,38,39,40
"253",43,NA,NA,NA,NA,NA
"254",235,4,23,NA,NA,NA
"255",236,27,28,NA,NA,NA
"256",237,3,5,7,22,28
"257",45,NA,NA,NA,NA,NA
"258",238,4,13,14,27,28
"259",38,NA,NA,NA,NA,NA
"260",239,18,37,49,NA,NA
"261",240,35,40,45,NA,NA
"262",241,7,11,37,45,NA
"263",242,16,32,45,NA,NA
"264",243,12,31,36,48,NA
"265",244,8,13,14,16,29
"266",31,44,NA,NA,NA,NA
"267",245,28,43,NA,NA,NA
"268",246,3,NA,NA,NA,NA
"269",247,16,27,28,NA,NA
"270",248,3,18,35,NA,NA
"271",249,30,40,NA,NA,NA
"272",250,0,2,46,NA,NA
"273",251,0,2,46,NA,NA
"274",252,3,18,35,NA,NA
"275",253,7,15,NA,NA,NA
"276",254,16,32,33,NA,NA
"277",255,2,5,7,11,35
"278",41,NA,NA,NA,NA,NA
"279",256,24,29,36,38,49
"280",257,13,27,28,49,NA
"281",258,1,19,28,44,NA
"282",259,5,9,21,26,30
"283",46,47,NA,NA,NA,NA
"284",260,17,23,45,NA,NA
"285",261,16,18,39,43,NA
"286",262,8,14,26,29,NA
"287",263,0,1,5,8,22
"288",23,44,NA,NA,NA,NA
"289",264,2,22,33,37,NA
"290",265,22,25,29,31,36
"291",266,6,27,28,NA,NA
"292",267,1,19,NA,NA,NA
"293",268,12,31,36,48,NA
"294",269,13,33,42,NA,NA
"295",270,17,29,39,47,NA
"296",271,26,42,NA,NA,NA
"297",272,21,26,38,NA,NA
"298",273,8,NA,NA,NA,NA
"299",274,3,6,16,18,25
"300",35,NA,NA,NA,NA,NA
"301",275,12,16,31,36,48
"302",276,9,NA,NA,NA,NA
"303",277,7,28,NA,NA,NA
"304",278,12,NA,NA,NA,NA
"305",279,14,22,44,NA,NA
"306",280,24,29,42,NA,NA
"307",281,31,33,48,NA,NA
"308",282,7,15,49,NA,NA
"309",283,27,28,37,NA,NA
"310",284,0,2,7,46,NA
"311",285,7,15,49,NA,NA
"312",286,14,16,19,32,41
"313",45,NA,NA,NA,NA,NA
"314",287,10,23,24,NA,NA
"315",288,0,2,46,NA,NA
"316",289,33,34,48,NA,NA
"317",290,1,19,30,NA,NA
"318",291,4,9,19,42,44
"319",292,27,28,NA,NA,NA
"320",293,0,2,46,NA,NA
"321",294,17,29,47,NA,NA
"322",295,12,31,32,36,48
"323",296,3,14,19,20,44
"324",297,22,27,28,NA,NA
"325",298,14,44,45,NA,NA
"326",299,31,39,48,NA,NA
"327",300,3,15,25,47,NA
"328",301,7,15,49,NA,NA
"329",302,1,4,9,46,NA
"330",303,17,29,47,NA,NA
"331",304,14,29,44,NA,NA
"332",305,7,11,37,45,NA
"333",306,11,13,19,23,35
"334",38,45,NA,NA,NA,NA
"335",307,2,13,15,38,NA
"336",308,19,NA,NA,NA,NA
"337",309,22,23,28,45,NA
"338",310,23,24,40,41,43
"339",311,25,28,37,45,47
"340",312,7,11,37,45,NA
"341",313,17,21,39,NA,NA
"342",314,3,5,18,35,NA
"343",315,20,29,43,NA,NA
"344",316,4,9,NA,NA,NA
"345",317,5,22,NA,NA,NA
"346",318,0,2,31,46,NA
"347",319,7,11,37,45,NA
"348",320,25,28,30,33,NA
"349",321,1,23,39,41,NA
"350",322,3,5,22,29,NA
"351",323,1,4,5,15,NA
"352",324,0,2,46,NA,NA
"353",325,4,25,29,NA,NA
"354",326,0,13,27,39,44
"355",327,1,5,22,NA,NA
"356",328,14,44,NA,NA,NA
"357",329,1,12,19,30,NA
"358",330,7,15,49,NA,NA
"359",331,4,9,33,NA,NA
"360",332,7,15,17,39,49
"361",333,2,8,28,42,NA
"362",334,17,29,47,NA,NA
"363",335,3,5,18,25,27
"364",35,NA,NA,NA,NA,NA
"365",336,1,12,48,NA,NA
"366",337,5,22,NA,NA,NA
"367",338,0,2,46,NA,NA
"368",339,3,4,7,9,NA
"369",340,12,31,36,48,NA
"370",341,2,5,45,48,NA
"371",342,7,15,49,NA,NA
"372",343,11,24,35,NA,NA
"373",344,8,33,42,NA,NA
"374",345,4,8,27,28,NA
"375",346,7,15,49,NA,NA
"376",347,16,32,45,NA,NA
"377",348,18,31,35,46,NA
"378",349,23,24,40,41,NA
"379",350,2,4,27,34,37
"380",351,16,32,45,NA,NA
"381",352,0,46,NA,NA,NA
"382",353,7,11,37,38,45
"383",354,1,40,NA,NA,NA
"384",355,3,18,26,28,35
"385",41,44,NA,NA,NA,NA
"386",356,23,24,40,41,43
"387",357,33,42,NA,NA,NA
"388",358,0,3,10,13,26
"389",28,NA,NA,NA,NA,NA
"390",359,3,7,11,20,33
"391",34,37,45,NA,NA,NA
"392",360,23,24,40,41,43
"393",361,15,46,NA,NA,NA
"394",362,8,9,13,22,26
"395",363,5,22,NA,NA,NA
"396",364,1,2,23,NA,NA
"397",365,1,18,48,NA,NA
"398",366,2,7,15,41,49
"399",367,3,18,35,NA,NA
"400",368,1,19,27,28,42
"401",369,3,18,35,NA,NA
"402",370,3,13,36,NA,NA
"403",371,1,7,10,36,46
"404",372,33,35,NA,NA,NA
"405",373,5,9,NA,NA,NA
"406",374,18,20,NA,NA,NA
"407",375,7,33,42,44,NA
"408",376,16,32,45,NA,NA
"409",377,16,20,26,NA,NA
"410",378,34,45,NA,NA,NA
"411",379,0,33,NA,NA,NA
"412",380,1,4,19,36,NA
"413",381,11,26,35,39,NA
"414",382,2,8,16,39,NA
"415",383,5,22,NA,NA,NA
"416",384,0,11,46,NA,NA
"417",385,5,7,11,18,25
"418",37,NA,NA,NA,NA,NA
"419",386,31,34,42,NA,NA
"420",387,12,27,28,43,NA
"421",388,13,35,36,NA,NA
"422",389,13,34,NA,NA,NA
"423",390,4,9,10,13,39
"424",391,27,28,NA,NA,NA
"425",392,0,2,46,NA,NA
"426",393,0,5,13,22,45
"427",394,1,6,41,46,NA
"428",395,31,36,NA,NA,NA
"429",396,9,27,28,NA,NA
"430",397,15,17,40,47,49
"431",398,0,16,38,48,NA
"432",399,16,32,NA,NA,NA
"433",400,3,18,35,NA,NA
"434",401,0,2,13,33,46
"435",402,4,9,19,NA,NA
"436",403,17,29,47,NA,NA
"437",404,16,20,32,45,NA
"438",405,9,33,42,NA,NA
"439",406,11,12,17,44,NA
"440",407,3,18,35,NA,NA
"441",408,0,7,15,48,NA
"442",409,5,22,30,NA,NA
"443",410,17,NA,NA,NA,NA
"444",411,7,10,15,40,48
"445",412,12,25,31,36,NA
"446",413,14,32,44,NA,NA
"447",414,4,9,NA,NA,NA
"448",415,1,40,44,NA,NA
"449",416,2,17,26,35,41
"450",417,46,48,NA,NA,NA
"451",418,1,2,5,16,19
"452",29,NA,NA,NA,NA,NA
"453",419,7,15,49,NA,NA
"454",420,17,22,47,NA,NA
"455",421,17,29,47,NA,NA
"456",422,20,21,30,47,NA
"457",423,2,13,14,17,23
"458",44,45,46,NA,NA,NA
"459",424,0,10,NA,NA,NA
"460",425,0,3,36,NA,NA
"461",426,3,4,23,24,NA
"462",427,0,14,18,32,44
"463",45,NA,NA,NA,NA,NA
"464",428,5,48,NA,NA,NA
"465",429,33,42,NA,NA,NA
"466",430,1,14,21,25,26
"467",39,46,NA,NA,NA,NA
"468",431,0,3,46,NA,NA
"469",432,1,19,33,NA,NA
"470",433,23,24,40,41,NA
"471",434,7,8,31,35,42
"472",435,14,44,NA,NA,NA
"473",436,5,8,9,22,23
"474",30,NA,NA,NA,NA,NA
"475",437,1,NA,NA,NA,NA
"476",438,23,24,40,41,NA
"477",439,4,27,28,47,NA
"478",440,7,30,NA,NA,NA
"479",441,3,18,35,NA,NA
"480",442,11,31,40,42,NA
"481",443,19,43,NA,NA,NA
"482",444,1,5,22,47,NA
"483",445,2,4,12,29,30
"484",42,46,47,NA,NA,NA
"485",446,2,18,20,29,38
"486",39,40,41,NA,NA,NA
"487",447,0,2,46,NA,NA
"488",448,6,7,15,30,46
"489",49,NA,NA,NA,NA,NA
"490",449,10,28,30,39,43
"491",44,46,NA,NA,NA,NA
"492",450,4,23,27,28,45
"493",451,33,38,45,NA,NA
"494",452,14,28,44,NA,NA
"495",453,5,18,22,NA,NA
"496",454,0,NA,NA,NA,NA
"497",455,17,29,47,NA,NA
"498",456,6,18,29,46,NA
"499",457,5,20,33,NA,NA
"500",458,7,20,21,27,28
"501",39,48,NA,NA,NA,NA
"502",459,7,15,25,49,NA
"503",460,25,NA,NA,NA,NA
"504",461,14,44,NA,NA,NA
"505",462,5,8,NA,NA,NA
"506",463,2,27,46,NA,NA
"507",464,7,15,41,43,49
"508",465,5,7,10,12,28
"509",466,4,5,19,22,32
"510",49,NA,NA,NA,NA,NA
"511",467,16,32,45,NA,NA
"512",468,5,12,38,49,NA
"513",469,4,14,44,NA,NA
"514",470,23,NA,NA,NA,NA
"515",471,21,37,48,NA,NA
"516",472,27,28,NA,NA,NA
"517",473,0,2,12,16,32
"518",45,47,NA,NA,NA,NA
"519",474,14,27,44,NA,NA
"520",475,3,18,35,NA,NA
"521",476,23,39,46,NA,NA
"522",477,18,19,35,38,41
"523",478,17,40,NA,NA,NA
"524",479,1,8,25,33,48
"525",480,4,24,45,NA,NA
"526",481,22,24,37,42,NA
"527",482,30,34,NA,NA,NA
"528",483,17,20,47,NA,NA
"529",484,7,15,49,NA,NA
"530",485,42,47,NA,NA,NA
"531",486,3,18,35,NA,NA
"532",487,1,6,16,19,36
"533",488,37,NA,NA,NA,NA
"534",489,1,16,18,25,31
"535",41,45,NA,NA,NA,NA
"536",490,1,12,17,19,NA
"537",491,11,13,NA,NA,NA
"538",492,7,11,37,45,NA
"539",493,23,24,40,41,43
"540",494,17,18,29,45,NA
"541",495,4,9,NA,NA,NA
"542",496,7,12,15,20,29
"543",42,44,NA,NA,NA,NA
"544",497,22,32,39,44,NA
"545",498,16,32,45,NA,NA
"546",499,6,11,14,NA,NA
"547",500,16,21,26,35,47
"548",48,NA,NA,NA,NA,NA
"549",501,33,35,42,NA,NA
"550",502,1,9,19,37,44
"551",47,NA,NA,NA,NA,NA
"552",503,29,38,49,NA,NA
"553",504,4,9,NA,NA,NA
"554",505,1,8,19,38,NA
"555",506,20,39,NA,NA,NA
"556",507,7,15,16,NA,NA
"557",508,1,7,9,20,22
"558",30,36,46,NA,NA,NA
"559",509,4,5,26,NA,NA
"560",510,16,32,45,NA,NA
"561",511,14,37,NA,NA,NA
"562",512,27,28,36,NA,NA
"563",513,16,21,32,34,48
"564",514,25,43,NA,NA,NA
"565",515,2,10,48,NA,NA
"566",516,23,24,40,41,43
"567",517,5,22,24,46,NA
"568",518,7,11,37,45,NA
"569",519,3,18,35,NA,NA
"570",520,0,32,NA,NA,NA
"571",521,5,22,41,NA,NA
"572",522,14,44,NA,NA,NA
"573",523,2,8,43,NA,NA
"574",524,19,36,NA,NA,NA
"575",525,23,32,43,NA,NA
"576",526,36,NA,NA,NA,NA
"577",527,16,32,45,NA,NA
"578",528,1,11,36,NA,NA
"579",529,1,2,5,NA,NA
"580",530,17,19,46,NA,NA
"581",531,1,4,9,49,NA
"582",532,16,32,45,NA,NA
"583",533,3,7,26,34,NA
"584",534,12,24,30,36,NA
"585",535,7,11,37,45,NA
"586",536,0,1,5,NA,NA
"587",537,17,29,47,NA,NA
"588",538,3,18,35,NA,NA
"589",539,7,15,49,NA,NA
"590",540,3,18,35,NA,NA
"591",541,25,32,38,NA,NA
"592",542,9,29,33,42,NA
"593",543,15,19,NA,NA,NA
"594",544,13,14,19,44,46
"595",47,NA,NA,NA,NA,NA
"596",545,17,29,47,NA,NA
"597",546,41,NA,NA,NA,NA
"598",547,1,18,19,30,40
"599",45,NA,NA,NA,NA,NA
"600",548,1,18,36,37,49
"601",549,7,11,37,45,NA
"602",550,0,18,26,31,NA
"603",551,4,7,8,13,NA
"604",552,30,33,38,42,49
"605",553,0,6,11,21,26
"606",36,NA,NA,NA,NA,NA
"607",554,0,2,23,33,46
"608",555,31,36,37,48,NA
"609",556,4,9,NA,NA,NA
"610",557,0,19,29,NA,NA
"611",558,16,19,31,32,39
"612",45,NA,NA,NA,NA,NA
"613",559,13,22,30,35,NA
"614",560,3,18,35,36,45
"615",561,7,12,19,25,31
"616",35,36,NA,NA,NA,NA
"617",562,27,37,39,40,44
"618",563,7,11,37,45,NA
"619",564,5,10,24,25,28
"620",46,NA,NA,NA,NA,NA
"621",565,7,11,37,45,NA
"622",566,15,21,NA,NA,NA
"623",567,4,9,35,49,NA
"624",568,15,22,NA,NA,NA
"625",569,3,18,23,35,49
"626",570,2,16,38,NA,NA
"627",571,38,NA,NA,NA,NA
"628",572,11,13,27,28,NA
"629",573,1,19,NA,NA,NA
"630",574,7,12,15,40,NA
"631",575,27,31,NA,NA,NA
"632",576,5,28,NA,NA,NA
"633",577,15,20,42,NA,NA
"634",578,17,18,19,21,29
"635",31,36,47,NA,NA,NA
"636",579,1,42,46,NA,NA
"637",580,1,17,31,NA,NA
"638",581,27,28,NA,NA,NA
"639",582,17,29,47,NA,NA
"640",583,16,25,32,45,NA
"641",584,5,22,43,NA,NA
"642",585,5,7,11,37,45
"643",586,24,27,40,NA,NA
"644",587,15,27,30,34,NA
"645",588,16,32,45,NA,NA
"646",589,2,36,45,NA,NA
"647",590,5,25,46,NA,NA
"648",591,30,NA,NA,NA,NA
"649",592,14,40,NA,NA,NA
"650",593,13,33,42,NA,NA
"651",594,3,41,NA,NA,NA
"652",595,33,42,46,NA,NA
"653",596,8,17,18,42,NA
"654",597,7,12,20,NA,NA
"655",598,33,42,NA,NA,NA
"656",599,14,15,16,21,39
"657",600,43,NA,NA,NA,NA
"658",601,12,16,42,NA,NA
"659",602,2,11,46,NA,NA
"660",603,12,21,30,NA,NA
"661",604,8,33,40,NA,NA
"662",605,33,42,NA,NA,NA
"663",606,5,22,NA,NA,NA
"664",607,14,21,36,NA,NA
"665",608,4,27,28,NA,NA
"666",609,16,17,31,32,34
"667",38,45,47,NA,NA,NA
"668",610,0,19,26,NA,NA
"669",611,23,24,40,41,43
"670",612,14,15,23,35,NA
"671",613,0,NA,NA,NA,NA
"672",614,0,2,46,NA,NA
"673",615,27,28,44,NA,NA
"674",616,7,9,15,49,NA
"675",617,0,2,46,NA,NA
"676",618,7,42,43,45,NA
"677",619,7,15,49,NA,NA
"678",620,0,2,46,NA,NA
"679",621,29,33,42,NA,NA
"680",622,7,15,48,49,NA
"681",623,12,31,36,48,NA
"682",624,14,18,41,NA,NA
"683",625,16,32,NA,NA,NA
"684",626,7,11,37,45,NA
"685",627,22,NA,NA,NA,NA
"686",628,23,24,40,41,43
"687",629,2,34,NA,NA,NA
"688",630,5,22,46,NA,NA
"689",631,5,22,31,NA,NA
"690",632,4,13,45,49,NA
"691",633,34,NA,NA,NA,NA
"692",634,27,28,41,49,NA
"693",635,28,40,NA,NA,NA
"694",636,17,39,40,NA,NA
"695",637,14,18,24,31,40
"696",44,NA,NA,NA,NA,NA
"697",638,2,12,29,47,NA
"698",639,6,8,34,35,NA
"699",640,22,33,42,NA,NA
"700",641,12,31,36,48,NA
"701",642,33,42,NA,NA,NA
"702",643,0,2,46,NA,NA
"703",644,16,32,45,NA,NA
"704",645,15,23,NA,NA,NA
"705",646,9,15,17,35,NA
"706",647,20,27,28,30,39
"707",648,12,31,33,NA,NA
"708",649,7,9,20,NA,NA
"709",650,15,42,NA,NA,NA
"710",651,0,4,15,23,41
"711",652,5,21,NA,NA,NA
"712",653,19,42,NA,NA,NA
"713",654,0,2,39,46,NA
"714",655,3,4,9,NA,NA
"715",656,16,32,45,NA,NA
"716",657,27,28,NA,NA,NA
"717",658,10,12,22,31,36
"718",49,NA,NA,NA,NA,NA
"719",659,15,17,18,23,24
"720",44,49,NA,NA,NA,NA
"721",660,1,19,NA,NA,NA
"722",661,5,14,34,NA,NA
"723",662,20,NA,NA,NA,NA
"724",663,19,21,32,33,36
"725",39,NA,NA,NA,NA,NA
"726",664,0,12,22,48,NA
"727",665,4,25,38,40,NA
"728",666,4,9,27,NA,NA
"729",667,0,2,46,NA,NA
"730",668,3,18,35,NA,NA
"731",669,11,24,32,33,42
"732",670,0,13,21,44,46
"733",671,12,31,36,NA,NA
"734",672,39,44,46,NA,NA
"735",673,23,24,40,41,43
"736",674,0,2,46,NA,NA
"737",675,7,11,37,45,NA
"738",676,15,17,35,39,40
"739",41,NA,NA,NA,NA,NA
"740",677,15,NA,NA,NA,NA
"741",678,36,44,NA,NA,NA
"742",679,5,18,20,35,NA
"743",680,7,11,37,45,NA
"744",681,12,31,36,48,NA
"745",682,11,28,NA,NA,NA
"746",683,0,1,46,NA,NA
"747",684,8,18,38,45,NA
"748",685,16,27,28,36,41
"749",686,7,15,49,NA,NA
"750",687,3,8,19,31,NA
"751",688,14,43,NA,NA,NA
"752",689,5,14,22,28,46
"753",690,5,22,24,NA,NA
"754",691,7,22,28,NA,NA
"755",692,7,15,49,NA,NA
"756",693,11,12,29,36,44
"757",694,6,7,15,49,NA
"758",695,3,10,15,19,32
"759",36,NA,NA,NA,NA,NA
"760",696,10,23,25,26,40
"761",697,7,11,37,45,NA
"762",698,1,8,15,NA,NA
"763",699,7,15,49,NA,NA
"764",700,7,15,16,32,38
"765",48,NA,NA,NA,NA,NA
"766",701,0,2,46,NA,NA
"767",702,24,25,29,39,NA
"768",703,14,43,44,45,NA
"769",704,5,22,35,NA,NA
"770",705,17,29,47,NA,NA
"771",706,1,43,NA,NA,NA
"772",707,12,13,14,42,NA
"773",708,1,2,19,NA,NA
"774",709,12,26,34,48,NA
"775",710,15,28,35,NA,NA
"776",711,7,15,27,29,49
"777",712,7,11,37,45,NA
"778",713,14,44,NA,NA,NA
"779",714,19,41,42,NA,NA
"780",715,27,28,NA,NA,NA
"781",716,2,26,33,46,48
"782",717,4,5,9,22,NA
"783",718,0,2,46,NA,NA
"784",719,10,16,33,42,NA
"785",720,23,24,40,41,43
"786",721,3,5,22,26,28
"787",49,NA,NA,NA,NA,NA
"788",722,16,32,NA,NA,NA
"789",723,11,26,34,37,38
"790",724,7,12,28,38,NA
"791",725,1,19,24,NA,NA
"792",726,47,NA,NA,NA,NA
"793",727,1,20,48,NA,NA
"794",728,3,33,42,NA,NA
"795",729,4,9,30,35,NA
"796",730,1,13,19,30,NA
"797",731,4,9,NA,NA,NA
"798",732,4,11,13,41,NA
"799",733,0,14,44,46,NA
"800",734,19,20,30,NA,NA
"801",735,18,35,NA,NA,NA
"802",736,16,21,27,29,34
"803",36,43,48,NA,NA,NA
"804",737,28,34,NA,NA,NA
"805",738,12,25,31,36,NA
"806",739,11,14,17,19,NA
"807",740,4,27,43,47,NA
"808",741,4,28,39,NA,NA
"809",742,14,33,42,NA,NA
"810",743,8,9,11,25,49
"811",744,12,14,26,44,NA
"812",745,5,17,24,32,NA
"813",746,13,37,NA,NA,NA
"814",747,25,26,27,28,NA
"815",748,0,3,14,21,NA
"816",749,2,3,4,42,NA
"817",750,0,16,42,NA,NA
"818",751,9,16,23,36,41
"819",752,10,12,20,25,31
"820",36,NA,NA,NA,NA,NA
"821",753,27,28,NA,NA,NA
"822",754,3,18,35,NA,NA
"823",755,23,24,40,41,NA
"824",756,7,11,37,45,NA
"825",757,0,4,13,14,28
"826",30,NA,NA,NA,NA,NA
"827",758,4,9,NA,NA,NA
"828",759,1,39,NA,NA,NA
