"","V1","V2","V3","V4","V5","V6","V7","V8"
"165",164,21,35,NA,NA,NA,NA,NA
"166",165,3,10,24,30,40,NA,NA
"167",166,3,13,22,27,28,35,38
"168",39,NA,NA,NA,NA,NA,NA,NA
"169",167,7,11,37,45,NA,NA,NA
"170",168,17,29,37,47,NA,NA,NA
"171",169,5,22,49,NA,NA,NA,NA
"172",170,7,11,37,45,NA,NA,NA
"173",171,3,18,35,38,NA,NA,NA
"174",172,23,24,40,41,43,NA,NA
"175",173,2,6,11,24,44,NA,NA
"176",174,6,48,NA,NA,NA,NA,NA
"177",175,2,28,41,NA,NA,NA,NA
"178",176,28,NA,NA,NA,NA,NA,NA
"179",177,5,22,NA,NA,NA,NA,NA
"180",178,3,18,35,NA,NA,NA,NA
"181",179,22,24,36,45,NA,NA,NA
"182",180,5,14,22,NA,NA,NA,NA
"183",181,18,35,NA,NA,NA,NA,NA
"184",182,28,42,49,NA,NA,NA,NA
"185",183,7,11,37,45,NA,NA,NA
"186",184,12,24,33,36,42,45,NA
"187",185,0,2,46,NA,NA,NA,NA
"188",186,0,1,2,46,NA,NA,NA
"189",187,21,29,30,38,49,NA,NA
"190",188,6,11,15,16,20,NA,NA
"191",189,3,18,35,NA,NA,NA,NA
"192",190,12,22,24,NA,NA,NA,NA
"193",191,7,13,15,44,49,NA,NA
"194",192,1,43,NA,NA,NA,NA,NA
"195",193,3,18,23,35,NA,NA,NA
"196",194,26,40,NA,NA,NA,NA,NA
"197",195,5,22,NA,NA,NA,NA,NA
"198",196,6,14,24,NA,NA,NA,NA
"199",197,16,37,NA,NA,NA,NA,NA
"200",198,25,42,48,NA,NA,NA,NA
"201",199,2,9,10,25,27,28,NA
"202",200,7,15,32,NA,NA,NA,NA
"203",201,14,33,44,NA,NA,NA,NA
"204",202,5,22,38,NA,NA,NA,NA
"205",203,7,15,49,NA,NA,NA,NA
"206",204,1,15,29,38,NA,NA,NA
"207",205,17,29,46,47,NA,NA,NA
"208",206,7,11,21,24,37,45,NA
"209",207,3,18,35,NA,NA,NA,NA
"210",208,2,23,26,NA,NA,NA,NA
"211",209,5,7,10,22,31,47,NA
"212",210,3,9,15,34,35,NA,NA
"213",211,26,34,36,37,NA,NA,NA
"214",212,14,44,NA,NA,NA,NA,NA
"215",213,14,44,NA,NA,NA,NA,NA
"216",214,12,19,22,NA,NA,NA,NA
"217",215,12,19,NA,NA,NA,NA,NA
"218",216,0,18,46,NA,NA,NA,NA
"219",217,7,11,37,NA,NA,NA,NA
"220",218,14,44,NA,NA,NA,NA,NA
"221",219,3,18,35,43,NA,NA,NA
"222",220,4,14,44,NA,NA,NA,NA
"223",221,23,24,40,41,NA,NA,NA
"224",222,18,28,33,42,NA,NA,NA
"225",223,17,22,23,33,39,42,43
"226",224,6,19,41,NA,NA,NA,NA
"227",225,1,19,NA,NA,NA,NA,NA
"228",226,16,28,32,45,NA,NA,NA
"229",227,23,24,40,41,43,NA,NA
"230",228,37,NA,NA,NA,NA,NA,NA
"231",229,13,24,28,41,NA,NA,NA
"232",230,10,12,39,46,49,NA,NA
"233",231,13,35,40,NA,NA,NA,NA
"234",232,7,12,14,23,37,44,49
"235",233,7,10,14,15,49,NA,NA
"236",234,3,18,35,NA,NA,NA,NA
"237",235,16,32,NA,NA,NA,NA,NA
"238",236,3,18,35,NA,NA,NA,NA
"239",237,2,6,8,41,NA,NA,NA
"240",238,17,26,48,49,NA,NA,NA
"241",239,41,NA,NA,NA,NA,NA,NA
"242",240,5,7,10,NA,NA,NA,NA
"243",241,16,32,45,NA,NA,NA,NA
"244",242,13,27,NA,NA,NA,NA,NA
"245",243,6,34,38,41,42,NA,NA
"246",244,39,49,NA,NA,NA,NA,NA
"247",245,0,2,12,31,46,NA,NA
"248",246,3,18,35,NA,NA,NA,NA
"249",247,23,25,35,38,NA,NA,NA
"250",248,16,20,30,NA,NA,NA,NA
"251",249,14,36,44,NA,NA,NA,NA
"252",250,29,NA,NA,NA,NA,NA,NA
"253",251,10,21,23,41,44,45,NA
"254",252,11,19,36,NA,NA,NA,NA
"255",253,4,5,48,NA,NA,NA,NA
"256",254,37,42,49,NA,NA,NA,NA
"257",255,3,14,NA,NA,NA,NA,NA
"258",256,9,16,19,22,32,NA,NA
"259",257,0,4,7,9,11,40,NA
"260",258,16,32,45,NA,NA,NA,NA
"261",259,10,13,16,17,18,37,48
"262",260,7,45,49,NA,NA,NA,NA
"263",261,9,19,47,NA,NA,NA,NA
"264",262,43,49,NA,NA,NA,NA,NA
"265",263,14,NA,NA,NA,NA,NA,NA
"266",264,4,9,28,41,NA,NA,NA
"267",265,16,32,45,NA,NA,NA,NA
"268",266,3,33,42,NA,NA,NA,NA
"269",267,23,28,29,41,NA,NA,NA
"270",268,2,10,NA,NA,NA,NA,NA
"271",269,11,19,42,45,NA,NA,NA
"272",270,23,26,30,33,42,47,NA
"273",271,12,31,36,48,NA,NA,NA
"274",272,17,29,46,47,NA,NA,NA
"275",273,2,NA,NA,NA,NA,NA,NA
"276",274,13,45,46,47,48,NA,NA
"277",275,27,28,NA,NA,NA,NA,NA
"278",276,3,10,23,24,37,44,47
"279",277,9,13,15,21,28,29,NA
"280",278,1,21,34,NA,NA,NA,NA
"281",279,37,49,NA,NA,NA,NA,NA
"282",280,13,14,15,44,NA,NA,NA
"283",281,0,2,46,NA,NA,NA,NA
"284",282,0,2,38,46,NA,NA,NA
"285",283,16,33,42,NA,NA,NA,NA
"286",284,17,29,47,NA,NA,NA,NA
"287",285,3,14,38,NA,NA,NA,NA
"288",286,13,21,22,28,36,48,NA
"289",287,22,30,39,NA,NA,NA,NA
"290",288,10,16,33,40,42,NA,NA
"291",289,3,8,10,15,18,31,35
"292",290,3,4,14,27,44,45,NA
"293",291,2,3,5,17,29,42,46
"294",292,1,19,27,NA,NA,NA,NA
"295",293,19,26,44,NA,NA,NA,NA
"296",294,16,32,45,NA,NA,NA,NA
"297",295,4,9,24,NA,NA,NA,NA
"298",296,2,27,28,NA,NA,NA,NA
"299",297,1,14,18,38,NA,NA,NA
"300",298,26,47,NA,NA,NA,NA,NA
"301",299,6,7,8,11,16,18,44
"302",300,5,17,41,NA,NA,NA,NA
"303",301,12,31,NA,NA,NA,NA,NA
"304",302,6,8,12,25,36,40,49
"305",303,2,11,28,39,42,NA,NA
"306",304,33,42,NA,NA,NA,NA,NA
"307",305,1,4,6,13,37,NA,NA
"308",306,0,16,18,32,NA,NA,NA
"309",307,29,35,44,NA,NA,NA,NA
"310",308,5,22,49,NA,NA,NA,NA
"311",309,14,44,46,NA,NA,NA,NA
"312",310,4,9,12,NA,NA,NA,NA
"313",311,15,16,32,45,NA,NA,NA
"314",312,30,NA,NA,NA,NA,NA,NA
"315",313,17,27,29,37,47,48,NA
"316",314,3,4,9,15,49,NA,NA
"317",315,1,3,NA,NA,NA,NA,NA
"318",316,1,8,14,26,47,NA,NA
"319",317,8,15,19,32,40,49,NA
"320",318,11,17,29,47,48,NA,NA
"321",319,12,31,36,48,NA,NA,NA
"322",320,26,30,49,NA,NA,NA,NA
"323",321,13,25,45,NA,NA,NA,NA
"324",322,1,19,NA,NA,NA,NA,NA
"325",323,18,19,35,45,NA,NA,NA
"326",324,0,46,NA,NA,NA,NA,NA
"327",325,5,7,12,NA,NA,NA,NA
"328",326,28,29,48,NA,NA,NA,NA
"329",327,24,27,31,NA,NA,NA,NA
"330",328,14,19,31,44,45,NA,NA
"331",329,16,32,45,NA,NA,NA,NA
"332",330,19,47,NA,NA,NA,NA,NA
"333",331,33,42,NA,NA,NA,NA,NA
"334",332,3,17,29,47,NA,NA,NA
"335",333,42,NA,NA,NA,NA,NA,NA
"336",334,3,18,35,43,NA,NA,NA
"337",335,2,4,26,46,47,NA,NA
"338",336,27,28,30,44,NA,NA,NA
"339",337,25,29,32,NA,NA,NA,NA
"340",338,12,31,36,48,NA,NA,NA
"341",339,13,19,23,28,29,35,42
"342",340,6,20,42,NA,NA,NA,NA
"343",341,3,18,35,NA,NA,NA,NA
"344",342,20,28,34,41,NA,NA,NA
"345",343,6,27,NA,NA,NA,NA,NA
"346",344,23,24,40,41,43,NA,NA
"347",345,0,2,46,NA,NA,NA,NA
"348",346,7,15,49,NA,NA,NA,NA
"349",347,23,24,40,41,NA,NA,NA
"350",348,14,44,NA,NA,NA,NA,NA
"351",349,16,18,26,NA,NA,NA,NA
"352",350,5,7,13,27,28,32,NA
"353",351,6,11,27,36,NA,NA,NA
"354",352,0,10,15,NA,NA,NA,NA
"355",353,22,34,35,NA,NA,NA,NA
"356",354,0,27,29,NA,NA,NA,NA
"357",355,22,34,NA,NA,NA,NA,NA
"358",356,33,38,NA,NA,NA,NA,NA
"359",357,32,49,NA,NA,NA,NA,NA
"360",358,7,11,37,42,NA,NA,NA
"361",359,23,24,40,41,NA,NA,NA
"362",360,5,20,36,NA,NA,NA,NA
"363",361,21,33,NA,NA,NA,NA,NA
"364",362,7,11,32,37,45,47,NA
"365",363,12,31,36,48,NA,NA,NA
"366",364,1,19,27,NA,NA,NA,NA
"367",365,1,14,44,49,NA,NA,NA
"368",366,27,28,NA,NA,NA,NA,NA
"369",367,0,2,46,NA,NA,NA,NA
"370",368,14,44,NA,NA,NA,NA,NA
"371",369,14,15,37,39,44,47,NA
"372",370,4,24,NA,NA,NA,NA,NA
"373",371,47,NA,NA,NA,NA,NA,NA
"374",372,3,18,35,NA,NA,NA,NA
"375",373,12,31,36,48,NA,NA,NA
"376",374,14,44,49,NA,NA,NA,NA
"377",375,16,32,45,49,NA,NA,NA
"378",376,39,48,NA,NA,NA,NA,NA
"379",377,3,17,18,35,NA,NA,NA
"380",378,27,28,NA,NA,NA,NA,NA
"381",379,1,10,19,21,34,36,48
"382",380,3,18,35,NA,NA,NA,NA
"383",381,4,24,49,NA,NA,NA,NA
"384",382,2,25,37,NA,NA,NA,NA
"385",383,12,31,36,48,NA,NA,NA
"386",384,1,5,7,10,22,24,49
"387",385,4,11,21,31,NA,NA,NA
"388",386,12,30,37,42,NA,NA,NA
"389",387,33,42,NA,NA,NA,NA,NA
"390",388,33,42,46,NA,NA,NA,NA
"391",389,21,31,42,NA,NA,NA,NA
"392",390,6,16,NA,NA,NA,NA,NA
"393",391,1,5,17,19,34,NA,NA
"394",392,7,15,49,NA,NA,NA,NA
"395",393,25,26,29,NA,NA,NA,NA
"396",394,14,45,49,NA,NA,NA,NA
"397",395,2,7,18,22,32,NA,NA
"398",396,0,15,35,38,47,NA,NA
"399",397,17,19,28,29,47,49,NA
"400",398,29,NA,NA,NA,NA,NA,NA
"401",399,4,9,NA,NA,NA,NA,NA
"402",400,3,18,22,35,NA,NA,NA
"403",401,16,32,45,NA,NA,NA,NA
"404",402,5,22,NA,NA,NA,NA,NA
"405",403,1,18,19,NA,NA,NA,NA
"406",404,23,27,28,NA,NA,NA,NA
"407",405,3,7,28,NA,NA,NA,NA
"408",406,14,48,NA,NA,NA,NA,NA
"409",407,5,22,NA,NA,NA,NA,NA
"410",408,7,11,37,45,NA,NA,NA
"411",409,15,28,35,38,42,NA,NA
"412",410,5,22,NA,NA,NA,NA,NA
"413",411,17,29,47,NA,NA,NA,NA
"414",412,8,12,17,NA,NA,NA,NA
"415",413,12,31,36,48,NA,NA,NA
"416",414,7,11,37,45,NA,NA,NA
"417",415,7,18,33,41,42,NA,NA
"418",416,12,31,36,48,NA,NA,NA
"419",417,3,7,13,18,33,35,45
"420",418,3,12,27,35,NA,NA,NA
"421",419,23,48,NA,NA,NA,NA,NA
"422",420,4,33,42,49,NA,NA,NA
"423",421,24,42,46,NA,NA,NA,NA
"424",422,7,15,49,NA,NA,NA,NA
"425",423,2,8,11,29,33,38,NA
"426",424,12,31,36,48,NA,NA,NA
"427",425,16,32,45,NA,NA,NA,NA
"428",426,31,33,41,42,NA,NA,NA
"429",427,8,14,37,44,NA,NA,NA
"430",428,12,14,32,33,37,39,43
"431",47,NA,NA,NA,NA,NA,NA,NA
"432",429,27,32,35,42,46,47,NA
"433",430,3,9,32,34,NA,NA,NA
"434",431,29,NA,NA,NA,NA,NA,NA
"435",432,33,42,NA,NA,NA,NA,NA
"436",433,1,12,19,34,NA,NA,NA
"437",434,21,42,NA,NA,NA,NA,NA
"438",435,7,24,29,40,NA,NA,NA
"439",436,21,25,27,45,NA,NA,NA
"440",437,7,15,35,49,NA,NA,NA
"441",438,1,16,32,45,NA,NA,NA
"442",439,3,18,32,35,NA,NA,NA
"443",440,21,27,28,NA,NA,NA,NA
"444",441,7,12,13,24,29,33,42
"445",48,NA,NA,NA,NA,NA,NA,NA
"446",442,27,28,NA,NA,NA,NA,NA
"447",443,1,13,19,21,26,48,NA
"448",444,19,33,NA,NA,NA,NA,NA
"449",445,5,8,22,NA,NA,NA,NA
"450",446,7,11,31,37,45,NA,NA
"451",447,7,15,49,NA,NA,NA,NA
"452",448,3,18,35,36,NA,NA,NA
"453",449,0,2,46,NA,NA,NA,NA
"454",450,17,29,47,NA,NA,NA,NA
"455",451,7,11,37,45,NA,NA,NA
"456",452,12,22,25,41,49,NA,NA
"457",453,19,22,33,42,47,NA,NA
"458",454,2,27,28,NA,NA,NA,NA
"459",455,0,2,46,NA,NA,NA,NA
"460",456,9,14,16,37,39,49,NA
"461",457,1,20,41,NA,NA,NA,NA
"462",458,2,43,49,NA,NA,NA,NA
"463",459,3,18,35,NA,NA,NA,NA
"464",460,11,22,NA,NA,NA,NA,NA
"465",461,4,9,16,22,29,47,NA
"466",462,12,31,49,NA,NA,NA,NA
"467",463,1,4,32,38,NA,NA,NA
"468",464,13,26,39,NA,NA,NA,NA
"469",465,11,21,27,28,34,49,NA
"470",466,16,32,45,NA,NA,NA,NA
"471",467,3,9,18,21,35,41,42
"472",468,7,15,NA,NA,NA,NA,NA
"473",469,3,16,18,41,42,43,NA
"474",470,4,9,NA,NA,NA,NA,NA
"475",471,23,24,40,41,43,NA,NA
"476",472,3,34,45,NA,NA,NA,NA
"477",473,4,6,9,10,12,NA,NA
"478",474,12,17,36,NA,NA,NA,NA
"479",475,17,29,47,NA,NA,NA,NA
"480",476,39,48,NA,NA,NA,NA,NA
"481",477,5,NA,NA,NA,NA,NA,NA
"482",478,3,35,39,40,43,46,49
"483",479,27,NA,NA,NA,NA,NA,NA
"484",480,2,5,27,31,42,NA,NA
"485",481,16,35,NA,NA,NA,NA,NA
"486",482,7,13,15,NA,NA,NA,NA
"487",483,7,10,11,37,45,NA,NA
"488",484,3,18,35,NA,NA,NA,NA
"489",485,8,21,26,NA,NA,NA,NA
"490",486,1,22,44,48,NA,NA,NA
"491",487,15,20,21,NA,NA,NA,NA
"492",488,17,26,29,47,NA,NA,NA
"493",489,3,18,35,NA,NA,NA,NA
"494",490,11,15,28,NA,NA,NA,NA
"495",491,7,15,24,NA,NA,NA,NA
"496",492,25,43,NA,NA,NA,NA,NA
"497",493,4,23,NA,NA,NA,NA,NA
"498",494,24,27,28,NA,NA,NA,NA
"499",495,7,11,37,45,NA,NA,NA
"500",496,7,15,17,49,NA,NA,NA
"501",497,15,45,NA,NA,NA,NA,NA
"502",498,16,32,NA,NA,NA,NA,NA
"503",499,5,9,19,22,NA,NA,NA
"504",500,0,1,33,40,NA,NA,NA
"505",501,33,42,49,NA,NA,NA,NA
"506",502,33,42,49,NA,NA,NA,NA
"507",503,5,20,29,33,NA,NA,NA
"508",504,14,17,29,47,NA,NA,NA
"509",505,0,16,31,32,NA,NA,NA
"510",506,16,NA,NA,NA,NA,NA,NA
"511",507,3,16,22,24,32,40,45
"512",49,NA,NA,NA,NA,NA,NA,NA
"513",508,2,32,35,38,41,NA,NA
"514",509,0,14,44,NA,NA,NA,NA
"515",510,39,NA,NA,NA,NA,NA,NA
"516",511,0,11,16,NA,NA,NA,NA
"517",512,5,NA,NA,NA,NA,NA,NA
"518",513,10,35,47,NA,NA,NA,NA
"519",514,1,8,19,25,NA,NA,NA
"520",515,11,38,41,NA,NA,NA,NA
"521",516,3,18,35,NA,NA,NA,NA
"522",517,6,NA,NA,NA,NA,NA,NA
"523",518,2,8,33,NA,NA,NA,NA
"524",519,1,13,37,41,NA,NA,NA
"525",520,4,38,NA,NA,NA,NA,NA
"526",521,4,9,NA,NA,NA,NA,NA
"527",522,4,9,23,30,NA,NA,NA
"528",523,15,22,NA,NA,NA,NA,NA
"529",524,5,22,NA,NA,NA,NA,NA
"530",525,3,18,35,NA,NA,NA,NA
"531",526,14,19,23,24,39,44,46
"532",527,4,9,15,NA,NA,NA,NA
"533",528,17,29,47,NA,NA,NA,NA
"534",529,5,8,9,16,42,47,48
"535",530,13,29,44,48,NA,NA,NA
"536",531,0,46,NA,NA,NA,NA,NA
"537",532,3,12,31,36,48,NA,NA
"538",533,13,37,41,NA,NA,NA,NA
"539",534,0,21,49,NA,NA,NA,NA
"540",535,4,9,NA,NA,NA,NA,NA
"541",536,1,19,NA,NA,NA,NA,NA
"542",537,0,5,10,NA,NA,NA,NA
"543",538,4,6,19,NA,NA,NA,NA
"544",539,3,4,9,14,39,NA,NA
"545",540,7,10,48,NA,NA,NA,NA
"546",541,30,33,NA,NA,NA,NA,NA
"547",542,18,35,NA,NA,NA,NA,NA
"548",543,20,42,NA,NA,NA,NA,NA
"549",544,12,29,31,36,48,NA,NA
"550",545,3,24,26,33,42,45,NA
"551",546,5,33,48,49,NA,NA,NA
"552",547,5,22,47,NA,NA,NA,NA
"553",548,43,44,47,NA,NA,NA,NA
"554",549,16,30,32,39,41,45,NA
"555",550,14,44,NA,NA,NA,NA,NA
"556",551,7,15,35,NA,NA,NA,NA
"557",552,7,11,37,45,NA,NA,NA
"558",553,15,39,NA,NA,NA,NA,NA
"559",554,16,20,27,28,33,NA,NA
"560",555,13,17,29,47,NA,NA,NA
"561",556,0,38,NA,NA,NA,NA,NA
"562",557,16,24,32,36,47,NA,NA
"563",558,1,21,NA,NA,NA,NA,NA
"564",559,8,16,26,27,31,32,NA
"565",560,33,41,42,NA,NA,NA,NA
"566",561,0,7,9,22,NA,NA,NA
"567",562,33,42,NA,NA,NA,NA,NA
"568",563,18,39,43,NA,NA,NA,NA
"569",564,12,31,36,48,NA,NA,NA
"570",565,25,28,30,45,NA,NA,NA
"571",566,22,NA,NA,NA,NA,NA,NA
"572",567,0,2,46,NA,NA,NA,NA
"573",568,0,8,21,NA,NA,NA,NA
"574",569,10,18,22,NA,NA,NA,NA
"575",570,0,1,4,39,NA,NA,NA
"576",571,0,3,4,5,16,20,NA
"577",572,20,31,NA,NA,NA,NA,NA
"578",573,0,23,24,40,41,43,NA
"579",574,5,22,NA,NA,NA,NA,NA
"580",575,16,32,NA,NA,NA,NA,NA
"581",576,16,32,45,NA,NA,NA,NA
"582",577,3,18,35,NA,NA,NA,NA
"583",578,18,19,20,NA,NA,NA,NA
"584",579,0,2,46,NA,NA,NA,NA
"585",580,26,39,NA,NA,NA,NA,NA
"586",581,7,10,18,NA,NA,NA,NA
"587",582,11,27,34,NA,NA,NA,NA
"588",583,5,22,NA,NA,NA,NA,NA
"589",584,7,15,49,NA,NA,NA,NA
"590",585,12,15,19,27,NA,NA,NA
"591",586,4,6,33,35,NA,NA,NA
"592",587,0,16,26,48,NA,NA,NA
"593",588,0,2,46,NA,NA,NA,NA
"594",589,12,31,36,48,NA,NA,NA
"595",590,23,24,40,41,43,NA,NA
"596",591,4,28,NA,NA,NA,NA,NA
"597",592,10,12,40,NA,NA,NA,NA
"598",593,11,21,38,NA,NA,NA,NA
"599",594,3,6,8,9,11,44,47
"600",48,NA,NA,NA,NA,NA,NA,NA
"601",595,19,22,34,49,NA,NA,NA
"602",596,12,14,26,44,NA,NA,NA
"603",597,5,17,22,29,46,NA,NA
"604",598,27,28,NA,NA,NA,NA,NA
"605",599,9,17,21,36,40,NA,NA
"606",600,22,25,27,33,NA,NA,NA
"607",601,5,14,36,37,49,NA,NA
"608",602,19,28,39,NA,NA,NA,NA
"609",603,4,5,9,NA,NA,NA,NA
"610",604,5,6,24,NA,NA,NA,NA
"611",605,15,17,31,NA,NA,NA,NA
"612",606,5,40,42,48,NA,NA,NA
"613",607,0,2,46,NA,NA,NA,NA
"614",608,4,9,NA,NA,NA,NA,NA
"615",609,27,28,NA,NA,NA,NA,NA
"616",610,4,47,NA,NA,NA,NA,NA
"617",611,6,33,42,NA,NA,NA,NA
"618",612,21,27,28,NA,NA,NA,NA
"619",613,20,21,29,NA,NA,NA,NA
