"","V1","V2","V3","V4","V5"
"76",65,1,26,NA,NA
"77",66,25,NA,NA,NA
"78",67,20,43,45,NA
"79",68,4,9,16,28
"80",31,47,NA,NA,NA
"81",69,0,2,46,NA
"82",70,16,22,32,45
"83",71,7,11,21,37
"84",45,NA,NA,NA,NA
"85",72,31,NA,NA,NA
"86",73,9,16,32,35
"87",36,45,NA,NA,NA
"88",74,3,15,18,25
"89",35,NA,NA,NA,NA
"90",75,7,11,37,45
"91",76,23,24,40,41
"92",43,NA,NA,NA,NA
"93",77,2,5,12,28
"94",36,NA,NA,NA,NA
"95",78,5,22,31,41
"96",79,43,NA,NA,NA
"97",80,15,21,30,NA
"98",81,0,NA,NA,NA
"99",82,4,28,43,44
"100",83,17,29,47,NA
"101",84,14,37,44,NA
"102",85,5,22,41,47
"103",86,16,32,39,45
"104",87,2,35,NA,NA
"105",88,5,22,47,48
"106",89,16,32,45,NA
"107",90,12,17,30,32
"108",33,38,NA,NA,NA
"109",91,7,16,32,45
"110",92,3,18,35,44
"111",93,2,21,24,NA
"112",94,9,16,23,30
"113",95,1,9,23,NA
"114",96,24,27,28,NA
"115",97,25,32,38,43
"116",98,18,NA,NA,NA
"117",99,1,10,16,21
"118",31,40,NA,NA,NA
"119",100,33,42,NA,NA
"120",101,9,NA,NA,NA
"121",102,4,6,9,15
"122",23,27,38,NA,NA
"123",103,3,20,27,28
"124",47,NA,NA,NA,NA
"125",104,14,15,44,NA
"126",105,17,29,47,NA
"127",106,27,28,NA,NA
"128",107,8,12,31,35
"129",36,NA,NA,NA,NA
"130",108,18,39,NA,NA
"131",109,14,44,NA,NA
"132",110,0,2,4,9
"133",10,20,47,NA,NA
"134",111,27,28,NA,NA
"135",112,2,10,21,29
"136",42,NA,NA,NA,NA
"137",113,27,28,NA,NA
"138",114,7,12,18,NA
"139",115,33,42,NA,NA
"140",116,26,33,42,NA
"141",117,10,18,20,26
"142",41,48,NA,NA,NA
"143",118,10,39,NA,NA
"144",119,7,15,33,49
"145",120,0,2,46,NA
"146",121,13,14,20,28
"147",33,NA,NA,NA,NA
"148",122,1,27,28,30
"149",123,17,29,47,NA
"150",124,10,44,NA,NA
"151",125,25,27,38,40
"152",126,0,23,41,NA
"153",127,2,15,26,31
"154",39,NA,NA,NA,NA
"155",128,7,15,49,NA
"156",129,5,23,26,33
"157",42,NA,NA,NA,NA
"158",130,7,15,49,NA
"159",131,3,4,7,28
"160",39,NA,NA,NA,NA
"161",132,1,24,26,34
"162",46,NA,NA,NA,NA
"163",133,7,14,32,NA
"164",134,1,11,25,38
"165",48,NA,NA,NA,NA
"166",135,0,2,46,NA
"167",136,1,10,11,16
"168",17,35,NA,NA,NA
"169",137,3,29,31,33
"170",138,8,21,32,NA
"171",139,2,10,18,NA
"172",140,33,NA,NA,NA
"173",141,5,11,20,40
"174",142,7,15,47,49
"175",143,40,45,46,NA
"176",144,4,5,11,21
"177",145,2,14,21,44
"178",146,1,NA,NA,NA
"179",147,26,38,39,49
"180",148,4,9,27,28
"181",33,46,NA,NA,NA
"182",149,7,33,42,NA
"183",150,4,14,25,NA
"184",151,5,32,NA,NA
"185",152,24,27,28,NA
"186",153,13,22,45,49
"187",154,7,15,NA,NA
"188",155,0,5,32,NA
"189",156,39,41,47,49
"190",157,13,26,37,NA
"191",158,7,15,25,49
"192",159,15,23,NA,NA
"193",160,0,3,27,28
"194",161,11,47,NA,NA
"195",162,7,17,28,NA
"196",163,22,26,42,NA
"197",164,7,11,15,18
"198",20,39,45,46,NA
"199",165,16,32,45,NA
"200",166,33,42,NA,NA
"201",167,0,14,21,27
"202",46,NA,NA,NA,NA
"203",168,3,20,35,NA
"204",169,33,42,NA,NA
"205",170,5,22,NA,NA
"206",171,1,16,22,29
"207",31,32,45,NA,NA
"208",172,9,45,NA,NA
"209",173,16,19,22,29
"210",43,48,NA,NA,NA
"211",174,0,3,18,35
"212",39,NA,NA,NA,NA
"213",175,15,41,47,NA
"214",176,10,15,35,NA
"215",177,17,21,27,29
"216",47,NA,NA,NA,NA
"217",178,17,29,47,NA
"218",179,4,20,32,49
"219",180,15,25,28,NA
"220",181,7,33,36,42
"221",182,3,18,35,NA
"222",183,16,32,45,NA
"223",184,12,NA,NA,NA
"224",185,33,42,NA,NA
"225",186,15,33,36,42
"226",47,48,49,NA,NA
"227",187,4,9,20,36
"228",39,NA,NA,NA,NA
"229",188,32,48,NA,NA
"230",189,4,9,17,NA
"231",190,8,10,27,28
"232",33,34,NA,NA,NA
"233",191,17,47,NA,NA
"234",192,3,7,18,35
"235",193,6,26,35,38
"236",194,23,24,33,42
"237",195,29,34,NA,NA
"238",196,19,33,42,NA
"239",197,10,14,24,26
"240",34,NA,NA,NA,NA
"241",198,1,33,NA,NA
"242",199,6,27,28,NA
"243",200,13,16,32,39
"244",201,21,22,46,NA
"245",202,15,19,33,42
"246",47,NA,NA,NA,NA
"247",203,3,18,35,36
"248",204,1,22,NA,NA
"249",205,4,9,NA,NA
"250",206,19,35,NA,NA
"251",207,15,20,24,31
"252",208,3,8,17,NA
"253",209,11,26,28,NA
"254",210,5,33,42,NA
"255",211,11,33,42,NA
"256",212,28,42,NA,NA
"257",213,0,5,42,44
"258",214,14,25,40,NA
"259",215,0,2,46,NA
"260",216,4,9,11,38
"261",217,4,9,13,20
"262",34,NA,NA,NA,NA
"263",218,27,28,29,NA
"264",219,2,24,25,30
"265",41,45,47,49,NA
"266",220,11,32,35,NA
"267",221,9,17,22,23
"268",49,NA,NA,NA,NA
"269",222,3,36,39,46
"270",223,5,22,NA,NA
"271",224,16,32,NA,NA
"272",225,2,12,19,31
"273",36,48,NA,NA,NA
"274",226,4,9,44,NA
"275",227,15,44,NA,NA
"276",228,12,34,NA,NA
"277",229,1,14,31,44
"278",49,NA,NA,NA,NA
"279",230,0,2,19,46
"280",231,7,11,37,45
"281",232,7,8,14,41
"282",233,1,12,17,32
"283",234,14,36,44,NA
"284",235,1,12,13,16
"285",19,39,NA,NA,NA
"286",236,4,6,NA,NA
"287",237,7,14,44,NA
"288",238,11,23,NA,NA
"289",239,0,2,41,46
"290",48,NA,NA,NA,NA
"291",240,14,44,45,NA
"292",241,3,18,35,44
"293",242,12,NA,NA,NA
"294",243,40,42,48,NA
"295",244,7,12,18,26
"296",245,0,25,33,42
"297",246,5,22,31,NA
"298",247,27,28,NA,NA
"299",248,7,10,15,20
"300",41,49,NA,NA,NA
"301",249,0,16,21,32
"302",33,36,45,49,NA
"303",250,17,29,47,NA
"304",251,2,3,25,38
"305",252,12,31,36,48
"306",253,23,24,40,41
"307",43,NA,NA,NA,NA
"308",254,13,20,NA,NA
"309",255,4,7,8,9
"310",28,32,46,49,NA
"311",256,12,14,44,NA
"312",257,23,24,NA,NA
"313",258,26,38,45,NA
"314",259,1,10,13,21
"315",33,NA,NA,NA,NA
"316",260,26,38,45,NA
"317",261,1,12,13,25
"318",30,33,35,41,NA
"319",262,33,42,NA,NA
"320",263,24,37,NA,NA
"321",264,25,33,40,48
"322",265,11,14,27,44
"323",48,NA,NA,NA,NA
"324",266,17,29,47,NA
"325",267,16,27,32,45
"326",268,1,31,NA,NA
"327",269,17,29,47,NA
"328",270,7,15,49,NA
"329",271,7,11,37,45
"330",272,5,7,31,36
"331",46,47,NA,NA,NA
"332",273,5,22,48,NA
"333",274,0,15,26,46
"334",275,3,37,NA,NA
"335",276,0,18,35,39
"336",277,40,42,NA,NA
"337",278,0,2,46,NA
"338",279,7,15,49,NA
"339",280,24,28,31,NA
"340",281,9,16,45,47
"341",282,6,7,15,41
"342",49,NA,NA,NA,NA
"343",283,3,18,35,NA
"344",284,14,28,37,44
"345",285,33,42,NA,NA
"346",286,2,14,44,NA
"347",287,28,39,45,NA
"348",288,4,9,17,19
"349",38,39,NA,NA,NA
"350",289,9,17,NA,NA
"351",290,8,14,36,38
"352",43,NA,NA,NA,NA
"353",291,12,31,36,48
"354",292,12,31,36,48
"355",293,4,14,37,NA
"356",294,6,45,NA,NA
"357",295,0,26,45,NA
"358",296,12,19,21,38
"359",297,22,33,NA,NA
"360",298,4,9,12,NA
"361",299,12,31,36,48
"362",300,17,32,49,NA
"363",301,7,11,37,45
"364",302,2,14,16,30
"365",44,NA,NA,NA,NA
"366",303,3,18,20,28
"367",35,NA,NA,NA,NA
"368",304,23,24,40,41
"369",43,NA,NA,NA,NA
"370",305,5,16,19,22
"371",26,47,NA,NA,NA
"372",306,4,5,8,31
"373",41,49,NA,NA,NA
"374",307,7,15,23,27
"375",49,NA,NA,NA,NA
"376",308,10,14,40,NA
"377",309,7,15,NA,NA
"378",310,22,31,34,46
"379",311,12,31,36,48
"380",312,0,46,NA,NA
"381",313,3,7,15,18
"382",28,49,NA,NA,NA
"383",314,3,18,35,NA
"384",315,14,36,44,NA
"385",316,17,47,NA,NA
"386",317,11,18,35,NA
"387",318,27,28,NA,NA
"388",319,9,14,44,NA
"389",320,2,24,29,NA
"390",321,18,35,NA,NA
"391",322,12,31,36,48
"392",323,17,22,29,47
"393",324,27,28,NA,NA
"394",325,4,5,9,29
"395",326,0,2,46,NA
"396",327,15,17,29,37
"397",47,NA,NA,NA,NA
"398",328,8,18,27,40
"399",329,19,34,NA,NA
"400",330,1,19,32,NA
"401",331,23,24,40,41
"402",43,NA,NA,NA,NA
"403",332,14,44,48,NA
"404",333,4,34,47,NA
"405",334,24,34,36,44
"406",335,28,29,32,47
"407",336,25,26,29,40
"408",337,8,33,41,45
"409",338,5,35,40,NA
"410",339,22,NA,NA,NA
"411",340,7,31,37,NA
"412",341,0,2,46,NA
"413",342,7,15,49,NA
"414",343,17,47,NA,NA
"415",344,27,28,NA,NA
"416",345,8,25,33,41
"417",42,NA,NA,NA,NA
"418",346,15,21,32,NA
"419",347,12,19,22,NA
"420",348,14,38,NA,NA
"421",349,1,5,NA,NA
"422",350,7,11,37,45
"423",351,0,34,40,NA
"424",352,13,37,43,NA
"425",353,2,31,NA,NA
"426",354,0,2,46,NA
"427",355,42,NA,NA,NA
"428",356,16,32,45,NA
"429",357,2,24,30,33
"430",42,NA,NA,NA,NA
"431",358,1,12,15,26
"432",40,NA,NA,NA,NA
"433",359,4,9,14,NA
"434",360,3,27,33,NA
"435",361,3,11,27,28
"436",32,42,NA,NA,NA
"437",362,4,8,37,42
"438",363,12,17,27,28
"439",46,NA,NA,NA,NA
"440",364,32,49,NA,NA
"441",365,34,42,43,NA
"442",366,8,14,18,37
"443",44,NA,NA,NA,NA
"444",367,17,18,20,26
"445",29,47,NA,NA,NA
"446",368,3,NA,NA,NA
"447",369,27,28,31,NA
"448",370,0,46,NA,NA
"449",371,1,2,38,NA
"450",372,7,11,37,NA
"451",373,0,14,21,25
"452",34,NA,NA,NA,NA
"453",374,15,35,45,NA
"454",375,17,29,47,NA
"455",376,7,15,49,NA
"456",377,23,24,40,41
"457",43,NA,NA,NA,NA
"458",378,6,14,44,49
"459",379,4,22,NA,NA
"460",380,33,38,43,NA
"461",381,32,42,NA,NA
"462",382,20,28,NA,NA
"463",383,9,16,18,31
"464",36,42,NA,NA,NA
"465",384,1,18,27,39
"466",40,NA,NA,NA,NA
"467",385,16,33,42,NA
"468",386,3,18,35,NA
"469",387,31,NA,NA,NA
"470",388,5,22,29,NA
"471",389,4,9,40,NA
"472",390,4,22,NA,NA
"473",391,25,48,NA,NA
"474",392,17,19,25,29
"475",38,NA,NA,NA,NA
"476",393,0,8,NA,NA
"477",394,22,24,NA,NA
"478",395,5,13,49,NA
"479",396,27,28,NA,NA
"480",397,22,NA,NA,NA
"481",398,14,44,NA,NA
"482",399,3,20,27,28
"483",400,3,18,35,NA
"484",401,7,21,28,NA
"485",402,18,35,43,NA
"486",403,4,25,48,NA
"487",404,16,38,NA,NA
"488",405,14,24,29,NA
"489",406,0,4,13,NA
"490",407,32,34,36,NA
"491",408,1,13,25,29
"492",409,17,47,NA,NA
"493",410,23,24,40,41
"494",43,NA,NA,NA,NA
"495",411,17,47,NA,NA
"496",412,1,4,14,15
"497",413,3,18,35,NA
"498",414,1,11,40,NA
"499",415,32,NA,NA,NA
"500",416,3,18,35,NA
"501",417,4,16,23,NA
"502",418,4,7,14,18
"503",20,31,NA,NA,NA
"504",419,5,28,29,35
"505",420,9,18,26,NA
"506",421,13,15,29,36
"507",45,NA,NA,NA,NA
"508",422,22,24,NA,NA
"509",423,1,25,NA,NA
"510",424,9,14,44,NA
"511",425,9,16,32,34
"512",45,NA,NA,NA,NA
"513",426,25,36,NA,NA
"514",427,1,13,18,25
"515",428,11,48,NA,NA
"516",429,26,29,31,NA
"517",430,14,44,NA,NA
"518",431,3,18,35,NA
"519",432,1,27,41,NA
"520",433,12,31,36,48
"521",434,1,19,37,39
"522",435,40,49,NA,NA
"523",436,1,7,19,NA
"524",437,4,23,31,32
"525",438,10,18,28,36
"526",37,NA,NA,NA,NA
"527",439,2,21,34,NA
"528",440,18,25,46,NA
"529",441,4,8,31,NA
"530",442,23,30,34,NA
"531",443,5,8,10,43
"532",444,23,24,40,41
"533",43,NA,NA,NA,NA
"534",445,0,2,45,46
"535",446,5,22,36,NA
"536",447,3,14,18,32
"537",35,NA,NA,NA,NA
"538",448,29,42,NA,NA
"539",449,1,19,32,NA
"540",450,5,9,14,24
"541",43,44,NA,NA,NA
"542",451,7,11,37,45
"543",452,9,30,32,49
"544",453,4,14,22,34
"545",454,3,4,9,NA
"546",455,16,32,45,NA
"547",456,8,14,16,32
"548",33,NA,NA,NA,NA
"549",457,31,NA,NA,NA
"550",458,5,11,15,20
"551",22,23,38,NA,NA
"552",459,3,18,35,36
"553",41,NA,NA,NA,NA
"554",460,6,15,21,25
"555",45,NA,NA,NA,NA
"556",461,6,NA,NA,NA
"557",462,2,5,23,NA
"558",463,14,17,NA,NA
"559",464,8,19,44,NA
"560",465,12,14,NA,NA
"561",466,13,17,29,31
"562",32,47,NA,NA,NA
"563",467,1,19,39,43
"564",468,6,14,18,25
"565",38,NA,NA,NA,NA
"566",469,7,13,15,17
"567",22,28,49,NA,NA
"568",470,0,2,46,NA
"569",471,9,20,34,37
"570",472,5,19,24,26
"571",38,NA,NA,NA,NA
"572",473,14,33,48,NA
"573",474,26,29,31,43
"574",475,33,42,NA,NA
"575",476,7,11,37,45
"576",477,6,40,45,49
"577",478,5,22,NA,NA
"578",479,12,26,31,32
"579",33,39,NA,NA,NA
"580",480,1,3,5,9
"581",19,30,38,42,NA
"582",481,2,29,35,42
"583",482,27,29,32,NA
"584",483,20,44,NA,NA
"585",484,12,31,36,48
"586",485,16,33,35,42
"587",486,26,NA,NA,NA
"588",487,33,42,NA,NA
"589",488,3,18,35,NA
"590",489,23,35,37,NA
"591",490,17,29,44,47
"592",491,3,18,26,35
"593",492,19,27,28,NA
"594",493,24,NA,NA,NA
"595",494,1,19,48,NA
"596",495,7,14,44,NA
"597",496,6,15,26,47
"598",497,14,44,NA,NA
"599",498,3,18,35,NA
"600",499,5,17,24,28
"601",46,NA,NA,NA,NA
"602",500,1,3,18,20
"603",26,32,47,NA,NA
"604",501,4,12,17,NA
"605",502,23,24,40,41
"606",43,NA,NA,NA,NA
"607",503,5,22,NA,NA
"608",504,7,11,37,45
"609",505,4,9,34,NA
"610",506,12,31,36,NA
"611",507,4,17,33,35
"612",45,NA,NA,NA,NA
"613",508,7,11,37,45
"614",509,24,39,NA,NA
"615",510,4,5,25,NA
"616",511,2,13,25,28
"617",33,42,NA,NA,NA
"618",512,33,42,NA,NA
"619",513,3,5,20,28
"620",32,NA,NA,NA,NA
"621",514,6,9,11,NA
"622",515,9,19,35,NA
"623",516,29,42,46,NA
"624",517,16,31,32,33
"625",518,1,14,19,27
"626",44,NA,NA,NA,NA
"627",519,7,40,47,NA
"628",520,7,11,37,45
"629",521,13,26,NA,NA
"630",522,4,8,9,NA
"631",523,0,1,11,20
"632",27,39,NA,NA,NA
"633",524,17,26,46,NA
"634",525,5,9,14,NA
"635",526,3,18,35,NA
"636",527,33,48,NA,NA
"637",528,3,5,21,NA
"638",529,12,31,36,48
"639",530,9,NA,NA,NA
"640",531,12,16,32,36
"641",45,NA,NA,NA,NA
"642",532,27,28,NA,NA
"643",533,17,22,33,42
"644",534,4,9,42,49
"645",535,2,17,29,47
"646",536,12,49,NA,NA
"647",537,4,16,24,37
"648",47,NA,NA,NA,NA
"649",538,3,6,18,20
"650",35,NA,NA,NA,NA
"651",539,3,16,21,42
"652",49,NA,NA,NA,NA
"653",540,4,9,NA,NA
"654",541,27,28,NA,NA
"655",542,3,18,35,NA
"656",543,10,NA,NA,NA
"657",544,7,14,33,41
"658",545,0,2,31,46
"659",546,23,24,35,40
"660",41,43,NA,NA,NA
"661",547,16,32,45,NA
"662",548,4,8,9,31
"663",40,46,NA,NA,NA
"664",549,0,14,18,44
"665",550,10,24,31,NA
"666",551,11,14,32,44
"667",552,33,NA,NA,NA
"668",553,2,17,26,NA
"669",554,11,29,43,45
"670",555,1,7,11,24
"671",35,NA,NA,NA,NA
"672",556,4,17,26,29
"673",47,NA,NA,NA,NA
"674",557,23,24,40,41
"675",558,21,22,43,44
"676",47,NA,NA,NA,NA
"677",559,0,4,9,39
"678",560,2,9,14,27
"679",29,45,NA,NA,NA
"680",561,0,17,47,NA
"681",562,12,28,34,47
"682",563,6,23,27,31
"683",38,47,NA,NA,NA
"684",564,4,16,27,33
"685",44,48,NA,NA,NA
"686",565,19,28,38,49
"687",566,3,18,35,NA
"688",567,1,18,NA,NA
"689",568,18,37,NA,NA
"690",569,21,NA,NA,NA
"691",570,7,11,37,45
"692",571,14,47,NA,NA
"693",572,12,31,36,48
"694",573,13,33,48,NA
"695",574,1,30,NA,NA
"696",575,5,22,39,NA
"697",576,7,15,31,32
"698",577,1,19,NA,NA
"699",578,0,7,8,11
"700",21,30,47,NA,NA
"701",579,4,9,14,42
"702",580,27,28,NA,NA
"703",581,17,29,47,NA
"704",582,19,33,35,38
"705",583,33,42,NA,NA
"706",584,7,9,15,30
"707",585,49,NA,NA,NA
"708",586,4,27,28,NA
"709",587,11,46,NA,NA
"710",588,0,5,9,22
"711",24,NA,NA,NA,NA
"712",589,7,11,33,37
"713",41,NA,NA,NA,NA
"714",590,3,18,35,NA
"715",591,22,36,42,44
"716",592,14,44,NA,NA
"717",593,4,9,NA,NA
"718",594,1,19,38,NA
"719",595,7,11,37,45
"720",596,1,NA,NA,NA
"721",597,28,NA,NA,NA
"722",598,1,43,45,NA
"723",599,1,24,43,48
"724",600,16,32,45,NA
"725",601,1,11,19,27
"726",42,NA,NA,NA,NA
"727",602,5,26,42,46
"728",603,8,26,37,47
"729",604,18,23,27,NA
"730",605,6,7,26,28
"731",37,NA,NA,NA,NA
"732",606,3,7,30,31
"733",32,37,43,NA,NA
"734",607,10,12,35,38
"735",608,28,38,47,NA
"736",609,3,12,22,48
"737",49,NA,NA,NA,NA
"738",610,11,30,NA,NA
"739",611,4,9,22,27
"740",612,11,16,32,45
"741",613,2,6,12,34
"742",614,5,14,22,NA
"743",615,4,9,13,18
"744",616,10,33,NA,NA
"745",617,5,18,22,48
"746",618,3,17,18,24
"747",35,NA,NA,NA,NA
"748",619,18,21,45,NA
"749",620,17,29,47,NA
"750",621,2,33,42,NA
"751",622,0,2,46,NA
"752",623,1,10,14,19
"753",624,41,NA,NA,NA
"754",625,17,19,29,37
"755",47,NA,NA,NA,NA
"756",626,7,15,35,38
"757",45,NA,NA,NA,NA
"758",627,14,44,NA,NA
"759",628,4,22,NA,NA
"760",629,14,23,35,NA
"761",630,1,19,31,NA
"762",631,3,5,15,18
"763",31,46,NA,NA,NA
"764",632,1,40,42,NA
"765",633,17,29,37,47
"766",634,18,23,42,NA
"767",635,19,21,40,NA
"768",636,1,9,19,27
"769",637,9,NA,NA,NA
"770",638,8,39,48,NA
"771",639,17,29,47,NA
"772",640,25,NA,NA,NA
"773",641,2,5,11,20
"774",41,44,46,NA,NA
"775",642,13,NA,NA,NA
"776",643,5,22,NA,NA
"777",644,8,16,40,NA
"778",645,13,21,32,NA
"779",646,14,16,27,44
"780",647,1,16,32,45
"781",648,12,31,36,48
"782",649,17,24,29,47
"783",650,3,18,35,NA
"784",651,3,8,12,28
"785",652,4,9,NA,NA
"786",653,0,2,46,NA
"787",654,5,12,30,NA
"788",655,4,9,NA,NA
"789",656,11,28,43,NA
"790",657,7,11,37,45
"791",658,1,6,17,NA
"792",659,13,17,18,24
"793",30,35,44,NA,NA
"794",660,2,4,9,NA
"795",661,14,44,NA,NA
"796",662,7,15,49,NA
"797",663,14,16,44,NA
"798",664,1,17,19,NA
"799",665,42,NA,NA,NA
"800",666,6,10,14,NA
"801",667,3,5,18,NA
"802",668,3,18,35,NA
"803",669,18,19,NA,NA
"804",670,7,15,35,42
"805",47,49,NA,NA,NA
"806",671,7,15,49,NA
"807",672,9,32,38,39
"808",673,3,18,35,NA
"809",674,26,41,47,NA
"810",675,7,15,17,38
"811",676,18,35,NA,NA
"812",677,17,44,47,NA
"813",678,9,18,43,45
"814",679,20,46,NA,NA
"815",680,13,25,NA,NA
"816",681,13,14,44,NA
"817",682,24,34,38,44
"818",48,NA,NA,NA,NA
"819",683,15,37,NA,NA
"820",684,14,15,17,29
"821",40,43,49,NA,NA
"822",685,17,29,47,NA
"823",686,14,25,44,NA
"824",687,7,11,14,29
"825",30,37,45,NA,NA
"826",688,0,12,31,36
"827",48,NA,NA,NA,NA
"828",689,1,7,11,NA
"829",690,3,33,42,NA
"830",691,4,9,32,NA
"831",692,33,42,NA,NA
"832",693,16,25,30,NA
"833",694,12,14,26,33
"834",695,1,28,41,47
"835",696,12,30,49,NA
"836",697,4,8,9,NA
"837",698,44,NA,NA,NA
"838",699,0,24,32,49
"839",700,4,9,NA,NA
"840",701,0,12,21,36
"841",37,NA,NA,NA,NA
"842",702,9,16,27,28
"843",32,NA,NA,NA,NA
"844",703,4,9,12,NA
"845",704,1,15,23,41
"846",43,NA,NA,NA,NA
"847",705,4,27,28,NA
"848",706,5,22,36,46
"849",707,1,11,19,41
"850",708,14,27,28,33
"851",709,6,18,35,NA
"852",710,17,29,47,NA
"853",711,8,11,15,23
"854",712,21,35,47,NA
"855",713,14,49,NA,NA
"856",714,15,21,NA,NA
"857",715,0,2,46,NA
"858",716,6,7,24,27
"859",28,29,45,NA,NA
"860",717,17,29,47,NA
"861",718,15,16,32,45
"862",719,27,28,NA,NA
"863",720,0,2,46,NA
"864",721,1,19,NA,NA
"865",722,17,29,47,NA
"866",723,7,11,37,45
"867",724,23,24,40,41
"868",43,NA,NA,NA,NA
"869",725,6,49,NA,NA
"870",726,33,42,NA,NA
"871",727,8,11,15,18
"872",28,43,NA,NA,NA
"873",728,28,43,47,NA
"874",729,5,22,NA,NA
"875",730,7,14,15,29
"876",30,42,49,NA,NA
"877",731,3,4,18,19
"878",30,35,39,49,NA
"879",732,12,31,36,48
"880",733,7,14,35,44
"881",734,3,18,35,NA
"882",735,2,12,14,29
"883",736,33,42,NA,NA
"884",737,3,4,9,16
"885",39,NA,NA,NA,NA
"886",738,18,32,33,42
"887",739,0,2,46,NA
"888",740,0,1,7,20
"889",741,3,18,35,NA
"890",742,17,29,47,NA
"891",743,3,18,35,NA
"892",744,3,7,15,38
"893",49,NA,NA,NA,NA
"894",745,12,33,42,NA
"895",746,0,2,46,NA
"896",747,2,6,16,20
"897",41,NA,NA,NA,NA
"898",748,7,15,49,NA
"899",749,16,32,NA,NA
"900",750,22,NA,NA,NA
"901",751,22,29,39,40
"902",752,5,19,22,28
"903",33,NA,NA,NA,NA
"904",753,5,19,22,NA
"905",754,15,17,29,47
"906",755,5,8,13,42
"907",756,16,21,28,32
"908",44,45,49,NA,NA
"909",757,8,31,47,NA
"910",758,6,16,32,44
"911",45,NA,NA,NA,NA
"912",759,20,NA,NA,NA
"913",760,33,42,NA,NA
"914",761,23,24,40,41
"915",762,1,12,39,NA
"916",763,5,22,30,39
"917",40,NA,NA,NA,NA
"918",764,5,28,42,48
"919",765,19,20,NA,NA
"920",766,4,9,24,NA
"921",767,27,33,42,NA
"922",768,0,24,42,45
"923",769,2,17,41,NA
"924",770,1,28,34,49
"925",771,0,2,6,46
"926",772,5,12,31,36
"927",48,NA,NA,NA,NA
"928",773,4,9,11,24
"929",27,43,NA,NA,NA
"930",774,5,9,12,31
"931",42,NA,NA,NA,NA
"932",775,36,NA,NA,NA
"933",776,5,18,28,40
"934",777,27,28,31,NA
"935",778,0,5,7,12
"936",21,28,40,46,NA
"937",779,19,21,23,26
"938",32,NA,NA,NA,NA
"939",780,16,20,22,47
"940",781,7,15,21,34
"941",49,NA,NA,NA,NA
"942",782,13,24,25,NA
"943",783,33,39,40,NA
"944",784,5,12,15,24
"945",785,35,40,45,NA
"946",786,28,NA,NA,NA
"947",787,7,11,37,45
"948",788,7,15,NA,NA
"949",789,16,32,45,NA
"950",790,3,18,35,NA
"951",791,10,NA,NA,NA
"952",792,24,34,38,NA
"953",793,3,5,7,18
"954",20,35,43,47,NA
"955",794,3,14,16,29
"956",36,39,49,NA,NA
"957",795,4,9,22,NA
"958",796,1,27,NA,NA
"959",797,7,11,37,45
"960",798,7,15,49,NA
"961",799,20,NA,NA,NA
"962",800,5,14,44,NA
"963",801,1,2,11,31
"964",38,NA,NA,NA,NA
"965",802,23,24,40,41
"966",43,NA,NA,NA,NA
"967",803,5,8,17,22
"968",45,47,NA,NA,NA
"969",804,33,42,NA,NA
"970",805,4,9,36,NA
"971",806,16,32,36,37
"972",807,4,5,12,22
"973",35,37,NA,NA,NA
"974",808,0,3,18,35
"975",47,NA,NA,NA,NA
"976",809,12,29,NA,NA
"977",810,1,19,NA,NA
